linename,stationname,stationgeo
650路(锦程文丰公交场站-凤凰山脚),"['锦程文丰公交场站', '明士达公司', '鸿桥工业园西', '鸿桥工业园', '三洋部件厂', '锦程文丰大厦', '万乐锦程路口', '蚝二西海岸', '华擎科技', '沙井西部客运站', '沙二蓝天科技园', '沙井边防站', '沙井晟龙厂', '汇源豪庭', '大富科技东', '蚝一濠景城', '蚝一村委', '立才学校', '民主西环路口', '东兴花园', '沙井人民医院', '东塘街路口', '沙井街道办', '西荟城广场', '壆岗大厦', '新桥万家百货', '新桥市民广场', '新桥市民广场南', '沙井劳动社保站', '上南派出所', '上寮市场', '沙井电子城', '新桥南环路口①', '凤凰客运站', '稔田社区', '凤凰油站', '凤凰广场', '凤凰社区', '凤凰台湾街', '凤凰第二工业区', '凤凰山脚']","['113.78947398104066,22.728276040706554', '113.78735002749355,22.72830495806613', '113.78722004268631,22.725093009968894', '113.78840598562019,22.725047007771128', '113.79128002426786,22.726279894596242', '113.79143803620701,22.728408960507082', '113.79176097703775,22.73205099553597', '113.79229097728846,22.737909012718536', '113.79262299100483,22.741726028698157', '113.79313502514535,22.747675032307964', '113.79517498712728,22.751749984014968', '113.79731600847906,22.754198928687195', '113.80097301020898,22.753907977187662', '113.80063102530144,22.74999598508982', '113.79652999115808,22.746074880662565', '113.79618998252268,22.742084001221027', '113.79690799811655,22.741125989295337', '113.8028819992476,22.741225982159605', '113.80697800288009,22.7408180108085', '113.80845203239092,22.737218043557373', '113.8118740373995,22.737789018327508', '113.81400302145745,22.73797200973118', '113.81708402969454,22.738122002500248', '113.82250602208988,22.738229997190906', '113.82644500191928,22.73526802820436', '113.83358599173796,22.732917989417526', '113.83546398923649,22.73074699426859', '113.83646497106592,22.72672199437342', '113.84169795998203,22.725109010729664', '113.84401100683891,22.72440897567552', '113.84470297157301,22.723004977783624', '113.84205701269426,22.718217007871132', '113.84059304420512,22.714324985452425', '113.83955999286898,22.709041043537162', '113.83885895524922,22.705356964315772', '113.83869699076583,22.70233101180685', '113.84365096599062,22.69556196526302', '113.84628803164485,22.694003958899863', '113.85041502681743,22.691510994741623', '113.85209503778162,22.690439923826453', '113.85643798559873,22.688353024231894']"
650路(凤凰山脚-锦程文丰公交场站),"['凤凰山脚', '凤凰第二工业区', '凤凰台湾街', '凤凰社区', '凤凰广场', '凤凰油站', '稔田社区', '凤凰客运站', '新桥南环路口②', '沙井电子城', '上寮市场', '上寮', '上南派出所', '沙井劳动社保站', '新桥市民广场南', '新桥市民广场', '佳华天桥', '壆岗大厦', '西荟城广场', '沙井街道办', '东塘村', '沙井人民医院', '东兴花园', '民主西环路口', '立才学校', '蚝一村委', '蚝一濠景城', '大富科技东', '汇源豪庭', '沙井晟龙厂', '沙井边防站', '沙二蓝天科技园', '积架宝威', '沙井西部客运站', '华擎科技', '沙一西部工业区', '万乐锦程路口', '锦程文丰公交场站']","['113.8559999718322,22.68862002580157', '113.85241097182939,22.69035398104264', '113.8508260015881,22.691367035434215', '113.8465579724505,22.694009043642943', '113.84396698986893,22.69554696127458', '113.83920597066762,22.702674002054625', '113.83922402660836,22.704453036435325', '113.83987098623643,22.708404019475157', '113.84201703809906,22.716920040654756', '113.84263300618706,22.718197005900763', '113.84509696836955,22.722722959710435', '113.8475269746038,22.728564880683365', '113.84433295953357,22.724385891124523', '113.84179497697706,22.72516092985185', '113.83658103213777,22.726756995613545', '113.83561903676745,22.730285907477366', '113.83170700610334,22.733377900581534', '113.82727000569938,22.735115032347814', '113.82286103242733,22.738313993001757', '113.81793795891205,22.7383559908876', '113.815027988044,22.73768102328449', '113.8120270188278,22.737906012860055', '113.80865900198036,22.73733903841234', '113.80645797382054,22.74093900244061', '113.80386196072811,22.741188984808446', '113.79786101043177,22.741329974659955', '113.79626202662455,22.74184701951729', '113.79655199964309,22.745331042001048', '113.80072903043255,22.747324907015987', '113.8011470119862,22.752352892451057', '113.79725303726283,22.75432390766121', '113.79595696207346,22.751762982069337', '113.79323303027645,22.751086914940903', '113.7928599639983,22.746408011066496', '113.79244701295549,22.74179194037683', '113.79186302454364,22.73492103735262', '113.79165003630729,22.732148995123097', '113.79079996980349,22.728106036507945']"
m502a线(龙西公交总站-龙西公交总站),"['龙西公交总站', '添利工业园', '瓦窑坑', '五联社区', '崇和学校', '美信佳百货', '宏晟厂', '五联市场', '深圳技师学校', '百合盛世', '深中龙岗初级中学', '中南人防加油站', '爱地花园', '君悦龙庭', '龙岗疾控中心', '龙岗实验学校', '欧景花园', '欧景城', '愉园新村', '新亚洲花园', '龙城中学', '鸿基花园', '吉祥地铁站', '龙兴联泰', '龙城广场', '龙岗文化中心', '龙岗交通运输局', '龙福一村', '龙城小学', '清林小学', '中央悦城', '紫麟山', '欧意轩花园', '陂头肚村', '龙岗区福利院', '务地埔村', '龙西桥', '龙溪幼儿园', '龙西村委', '民润百货', '龙西公交总站']","['114.25368997182035,22.759529012563924', '114.25374800235626,22.76155699369064', '114.25197896931606,22.76133204350457', '114.24880301018658,22.75970397618875', '114.2460359597251,22.757067000372942', '114.2447699777703,22.75436798355179', '114.24282002600044,22.753050033220358', '114.23967200417232,22.753143018379053', '114.23644699756201,22.75174290174122', '114.24116301165729,22.748269043370403', '114.23853501888871,22.739918986259475', '114.23524802919823,22.73711096468697', '114.23187004115964,22.734936036975576', '114.22996096229045,22.73234399409026', '114.23218399893527,22.728469961901574', '114.23760096081975,22.7286439657281', '114.24162599831698,22.73085999487613', '114.24471598960918,22.729960904095265', '114.24473395571937,22.72744401812138', '114.24480599982125,22.723110984425034', '114.24520098475386,22.71947704270196', '114.24830498961201,22.71636797989474', '114.25120202488073,22.715985019756204', '114.25461298073155,22.718748975856283', '114.2590259963784,22.724409975728182', '114.25895898278738,22.727735026602897', '114.25530198105746,22.729459980685895', '114.25247303734638,22.728976972426963', '114.25107599261773,22.729314895053037', '114.25027200918656,22.734193970299557', '114.25022197356967,22.737720021504412', '114.25101796208179,22.74000198108331', '114.25873799963199,22.74117290262337', '114.26199902829323,22.74835203306541', '114.26217895888684,22.750534910370106', '114.25990202391144,22.75356003436521', '114.25876503862783,22.75427199974138', '114.25611503737427,22.75293896753024', '114.25436397044426,22.754230006802867', '114.25496601479684,22.75716198238643', '114.25368503114004,22.759538010698737']"
高快巴士39路(华富路②-坂田风门坳总站),"['华富路②', '宏杨学校', '坂田地铁站', '扬马市场', '金洲嘉丽园', '坂田东村', '中海日晖台', '万科城②', '华为单身公寓北', '华为基地', '岗头市场', '坂田风门坳总站']","['114.08788496287927,22.548925018156375', '114.09102903216316,22.63197199183941', '114.08067103065324,22.633511029942607', '114.0772309697039,22.634195022748994', '114.07636895573683,22.637030028632623', '114.07503901442973,22.6403070235622', '114.07358501713176,22.643901978751074', '114.07295503547782,22.650570042972735', '114.07061099708086,22.655184971786756', '114.06773498216107,22.660778008116296', '114.06981096619394,22.66586390240557', '114.07496301778362,22.675389019192078']"
高快巴士39路(坂田风门坳总站-华富路②),"['坂田风门坳总站', '岗头市场', '华为基地', '华为单身公寓北', '万科城', '中海日晖台', '坂田东村', '金洲嘉丽园', '坂田地铁站', '宏杨学校', '华富路②']","['114.0748459685757,22.675367010065482', '114.06986504418563,22.66601297459438', '114.06764497194901,22.66015301359065', '114.07049403770351,22.655372994269136', '114.07281103710463,22.65131798777884', '114.07326899325346,22.644292980988862', '114.07458096845035,22.6410740375989', '114.07609901493116,22.637496019348625', '114.07848401605936,22.633301961958946', '114.09093399144024,22.631788023289694', '114.08787597982418,22.54890499124446']"
高峰专线113路(红湖总站-红湖总站),"['红湖总站', '红湖村口', '红湖工业区', '光明书院', '光明书院路口', '新陂头市场', '圳美路口', '同富裕工业园', '石介头市场', '石介头市场', '同富裕工业园', '圳美路口', '新陂头市场', '光明书院路口', '光明书院', '红湖工业区', '红湖村口', '红湖总站']","['113.94497803087164,22.82455801910975', '113.95106000832494,22.823495997578444', '113.95142804409227,22.821188967805348', '113.95174299000395,22.818449011500874', '113.95436101158137,22.81276497125341', '113.94970796870233,22.80772691098598', '113.95492299150821,22.799048033030807', '113.96093696723443,22.79610797197072', '113.96356397186695,22.79665304337805', '113.96325001409132,22.796678031317587', '113.95937795802239,22.795915980370868', '113.95571296137344,22.796536932691524', '113.94976599923824,22.807668027563288', '113.95445102179343,22.812856999134244', '113.9521149783155,22.818195008289553', '113.95148697293368,22.821305890021435', '113.9510109608441,22.823588018124266', '113.94503201903278,22.82462397359325']"
高峰专线69路(桃源村总站-深大北门②),"['桃源村总站', '桃源村', '鼎胜山邻', '新屋村', '龙辉花园①', '珠光村①', '宝珠花园', '茶光①', '松坪山', '英伦名苑', '大冲②', '科技园②', '深大北门②']","['113.98687796425135,22.56630701831325', '113.98616399103227,22.567457996845725', '113.98012297631021,22.570803997681104', '113.97496203149598,22.57275596042321', '113.96812601639787,22.574115960335636', '113.96576796443496,22.57715303032559', '113.96260197649663,22.57706493013611', '113.9618250320613,22.57281502947019', '113.9641849704658,22.563235998163265', '113.96598598318215,22.551737935616494', '113.95861601528908,22.54613899612828', '113.95053997926539,22.545696975782786', '113.94347498609285,22.545433031291576']"
高峰专线69路(高新园地铁站-桃源村),"['高新园地铁站', '茶光①', '茶光②', '西丽社区', '桃园文体中心', '珠光村②', '宝珠花园', '龙辉花园①', '新屋村', '鼎胜山邻', '桃源村']","['113.96052302805558,22.54497498666762', '113.96186204224831,22.57322701033147', '113.96116998768365,22.576861031372985', '113.96097703166018,22.579509021832557', '113.96394602120021,22.580017923994724', '113.96467796052951,22.5784710223808', '113.96260700700748,22.576976996746236', '113.96801498583686,22.57395302136496', '113.97480204328471,22.572656010197818', '113.97864697052725,22.5714208930145', '113.9867939726862,22.566365005503354']"
m537路(上塘地铁接驳站-华南实验学校),"['上塘地铁接驳站', '简上中路', '简上社区公园', '曼海宁花园北', '龙胜地铁站', '上塘派出所', '龙胜村', '龙华邮政局', '金庸阁', '景华新村', '大信花园', '龙华信隆厂', '供电局龙华仓库', '西头村', '民治安监劳动办', '苹果园', '民治二小', '金地梅陇镇', '世纪春城', '民兴路口', '民治邮局', '塘水围村', '沙元埔', '皓月花园', '荣域碧水龙庭', '华南实验学校']","['114.019425998292,22.6423688955619', '114.01944800677697,22.641234978241773', '114.01738702444611,22.640805024471543', '114.01395495841582,22.64800098377135', '114.01840597238574,22.650707041421125', '114.02052202084435,22.652015982497087', '114.0242899633047,22.657098036272703', '114.02280398633059,22.662192989753095', '114.02460904142174,22.66143001374444', '114.02926199447023,22.659645995505535', '114.02861099246736,22.65605996200222', '114.03042098823883,22.650760990254817', '114.02980600828691,22.64939400191271', '114.0287280416753,22.646721022141676', '114.03217304330492,22.645065976341336', '114.03541996856966,22.64413196058329', '114.03663304032993,22.64213098885199', '114.03611202313432,22.638445007667404', '114.03731602200894,22.632736968091915', '114.03824999024737,22.629684959856327', '114.04156895961397,22.627037028438817', '114.04494200697228,22.62787500494601', '114.0470129604943,22.62471396841859', '114.04973500584973,22.62087797607684', '114.05309403964208,22.622575016762486', '114.05963002069997,22.62462689980735']"
m537路(华南实验学校-上塘地铁接驳站),"['华南实验学校', '荣域碧水龙庭', '皓月花园', '沙元埔', '塘水围村', '民治邮局', '东泉新村', '民兴路口', '世纪春城', '金地梅陇镇', '民治二小', '苹果园', '民治安监劳动办', '西头村', '供电局龙华仓库', '龙华信隆厂', '大信花园', '华润万家', '金庸阁', '龙华邮政局', '龙胜村', '和平工业路口', '上塘派出所', '龙胜地铁站', '简上社区公园', '上塘地铁接驳站']","['114.0597409614304,22.624670017124675', '114.05295902432398,22.622589028018666', '114.04996802629894,22.621091983849315', '114.04728595553868,22.62425302121908', '114.04355798767351,22.627593039104593', '114.04142900361556,22.62707097125803', '114.03911595675868,22.6277890225228', '114.03780002901756,22.631970991104545', '114.03705003374753,22.63474800197959', '114.03640801479975,22.63807900584034', '114.0369740371014,22.64171896646617', '114.03585501792799,22.644096020735986', '114.03269298253392,22.64503003674126', '114.0286869891135,22.64641399632628', '114.02982298626102,22.64924899727891', '114.03059103747181,22.65105399791991', '114.02879002475547,22.655819994787805', '114.02679102550475,22.658549909479564', '114.02472097028826,22.661306032864342', '114.02240801326192,22.662098024445008', '114.02415899036139,22.65736593318683', '114.02363797316578,22.654189990828165', '114.0210559736393,22.652514023840155', '114.01848196903187,22.650882896195725', '114.01605196279762,22.6425989633788', '114.01941602710082,22.64236997960835']"
