SLONCOL,SLATCOL,ELONCOL,ELATCOL,VehicleNum
63,17,65,16,298
75,21,74,19,275
63,18,65,16,235
76,21,74,19,173
65,17,63,18,172
77,23,74,19,159
74,19,75,21,142
76,22,74,19,140
75,21,65,16,139
65,17,63,16,136
75,22,74,19,135
73,21,74,19,135
63,16,65,16,133
76,23,74,19,132
74,21,75,21,132
76,22,75,21,131
75,21,77,23,127
65,17,75,21,127
65,17,63,17,126
74,19,74,21,121
74,20,75,21,118
73,20,74,19,116
75,21,75,22,116
61,20,60,18,115
66,20,67,22,114
67,19,68,21,114
73,23,74,19,113
72,21,74,19,112
74,22,74,19,111
74,21,74,19,108
75,21,74,21,105
76,23,75,21,104
77,23,75,21,103
75,21,76,22,103
75,21,73,21,103
75,21,74,20,102
65,17,75,20,102
75,20,74,19,101
75,21,77,22,100
75,22,75,21,99
76,21,75,21,99
77,23,75,22,99
74,19,76,21,96
65,17,64,16,93
63,17,64,16,92
75,21,76,21,91
59,18,61,20,91
76,21,65,16,89
74,21,76,22,89
73,21,75,21,87
56,18,65,16,86
72,23,74,19,85
74,19,74,20,84
74,20,74,19,84
74,22,75,21,83
75,21,74,22,83
74,20,74,22,83
72,21,75,21,81
74,20,74,21,81
72,22,74,19,81
71,21,74,19,81
79,26,74,19,80
75,23,75,21,79
73,21,74,21,79
77,23,76,22,79
74,20,76,22,79
77,22,75,21,79
75,22,77,23,79
74,19,75,22,78
74,19,77,23,78
65,17,76,21,77
76,22,74,21,76
76,22,75,22,76
85,26,74,19,76
56,17,65,16,75
74,19,75,20,74
74,20,73,21,74
74,20,76,21,74
66,20,68,21,73
72,23,73,22,73
74,20,75,22,73
12,40,65,16,72
75,21,72,21,72
75,23,74,19,71
73,22,74,19,71
74,21,75,22,70
75,21,75,20,70
65,17,73,21,70
75,21,76,23,70
74,19,76,22,70
75,20,75,21,69
74,19,77,22,69
66,19,68,21,69
74,22,74,20,69
72,22,72,23,69
61,20,59,18,69
74,20,65,16,68
74,19,74,22,67
60,18,61,20,67
73,27,74,19,66
37,16,39,13,66
75,20,65,16,64
76,23,75,22,64
65,17,65,16,64
76,22,76,21,64
65,17,74,19,64
73,22,74,21,63
61,20,59,17,63
77,22,74,19,63
66,19,67,22,63
75,22,74,20,63
72,21,74,21,63
72,22,75,21,62
12,40,74,19,62
74,21,76,21,62
63,17,65,17,62
62,17,65,16,62
64,20,65,16,61
78,22,74,19,61
65,17,74,20,61
74,21,73,21,61
75,21,75,23,61
63,19,65,16,61
75,25,74,19,61
61,20,60,17,60
76,21,73,21,60
72,23,74,21,60
76,22,77,23,60
74,22,74,21,60
73,21,74,22,60
76,21,74,20,60
76,21,76,22,59
75,22,74,21,59
56,17,64,16,59
75,20,77,23,58
12,40,39,13,58
74,20,77,22,58
72,22,73,22,57
78,22,75,21,57
72,21,74,22,57
67,20,68,21,57
76,21,77,23,57
74,19,73,21,57
76,22,74,20,57
75,20,74,21,57
78,23,74,19,57
64,19,65,16,57
66,19,65,16,57
65,17,64,19,57
12,40,64,16,57
61,22,61,20,56
72,21,72,23,56
75,21,72,23,56
74,21,77,23,56
68,19,68,21,55
75,22,76,22,55
76,21,74,21,55
72,21,74,20,55
74,21,74,20,55
65,17,68,21,55
74,21,77,22,55
75,22,77,22,55
72,22,75,22,54
