name,address,adname,pname,type,lat,lon
城隍庙(公交站),932路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.231351802577716,121.48870001007684
九江路黄河路(公交站),20路;330路;37路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.235460044691948,121.46851937679911
人民广场(公交站),123路;145路;312路;46路;49路;上川专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.230453957397373,121.47238548414099
黄陂北路(公交站),71路;71路区间,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22842015008969,121.46956938696101
上海博物馆(公交站),都市观光旅游1线;都市观光旅游2线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.228699819413226,121.4716812982946
西藏中路(公交站),71路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.2310513348736,121.4744061972206
世纪广场(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23778597622799,121.47360191864153
新闸路温州路(公交站),210路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.240430516656925,121.46504488416704
南京路步行街(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.237422970521806,121.47602112027691
东新桥(公交站),14路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23429193090649,121.47760580178124
成都北路(公交站),71路;71路区间,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.225945738812612,121.46333179691356
长乐路淡水路(公交站),上川专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22476578321986,121.46732043760456
淡水路长乐路(公交站),(停运)沪塘专线(大站车);沪商高速专线;沪塘专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.224665548012204,121.4675883042242
新闸路地铁站(公交站),136路;19路;316路/316路(夜宵线);64路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.241242950544848,121.46226621219837
柳林路寿宁路(公交站),南申专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22538902309569,121.47583852717396
小北门(公交站),11路内圈;11路外圈;135路;220路;304路;736路;911路;930路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22755634227234,121.47840311764513
新天地太平湖(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.222988193569147,121.47084803785326
马当路兴业路(公交站),146路内圈;146路外圈;805路/805路旅游观光环线;大桥一线高峰车,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22243026863493,121.46968427418308
吉安路湖滨路(公交站),109路;932路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.223420497414025,121.47497376450168
老北门(公交站),11路内圈;17路;26路;304路;320路;736路;920路;926路;930路;932路;969路;上川专线;隧道八线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.230408870577524,121.48180167551521
河南中路(公交站),71路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23316154214356,121.48314916722127
自忠路东台路(公交站),17路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.222175186716846,121.47606858370568
老西门(公交站),11路内圈;11路外圈;135路;220路;304路;318路;324路;451路;537路;736路;782路;789路;911路;920路;930路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.222540184260623,121.4796127244548
外滩(汉口路)(公交站),申城观光1号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.239256260004005,121.48569865269634
延安东路外滩(公交站),71路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23489138994066,121.48641857945447
外滩海关大楼(公交站),都市观光旅游1线;都市观光旅游5号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.239291220312683,121.48569062124201
新北门(公交站),11路内圈;11路外圈;26路;304路;64路;736路;805路/805路旅游观光环线;920路;926路;930路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.231479713260608,121.48734516584497
合肥路济南路(公交站),大桥一线高峰车,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.218148177638,121.47574683388066
肇周路合肥路(公交站),318路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.218143268970138,121.47613013728864
城隍庙·豫园(公交站),都市观光旅游3号线;都市观光旅游5号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.227239730084847,121.4873605810194
城隍庙豫园(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22725304287284,121.48746796240324
中华路盐城路(公交站),11路外圈,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.219337238415182,121.48151963244915
金陵东路码头(公交站),都市观光旅游3号线;都市观光旅游5号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.2333384600496,121.48922873149243
中华路尚文路(公交站),11路内圈;11路外圈;304路;306路;324路;66路;66路区间;920路;929路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.217165224154993,121.48389314781006
文化广场(公交站),786路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.213404202168412,121.45672819302328
十六铺(公交站),305路;55路;65路;736路;866路;868路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22945486123364,121.4937773886724
斜桥(公交站),18路;218路;23路;303路;318路;43路;730路;781路;955路;大桥一线高峰车;徐川专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.213485468167104,121.47926127952717
瑞金医院(公交站),104路;146路内圈;301路;41路;864路;955路;96路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.211603716908147,121.46184046014116
小东门(公交站),11路内圈;11路外圈;304路;64路;736路;920路;930路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.226559764963604,121.49329489785852
大南门(公交站),11路内圈;11路外圈;304路;324路;920路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.217207889567245,121.48952114681813
大东门(公交站),11路内圈;11路外圈;304路;324路;64路;920路;930路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.223786942142056,121.49458878977048
蒙自路丽园路(公交站),109路;146路外圈,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20902098159921,121.47270136763872
局门路斜土路(公交站),109路;146路内圈,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20830659467989,121.47634571065099
打浦桥(公交站),146路内圈;146路外圈;17路;218路;303路;41路;43路;786路;955路;96路;985路;徐川专线;隧道一线;隧道一线区间;隧道夜宵一线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.207420320924104,121.46439668861726
小南门(公交站),11路内圈;11路外圈;304路;324路;920路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.21793609398081,121.49371714769292
鲁班路斜土路(公交站),36路;780路;781路;869路;932路;933路;95路;974路;隧道八线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20681423910269,121.47023641426898
斜土路蒙自路(公交站),89路;96路;974路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.206795854361047,121.47476849054867
打浦路斜土路(公交站),146路内圈;17路;96路;浦西滨江1路;隧道一线;隧道一线区间;隧道夜宵一线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20579988396184,121.46583534143036
复兴东路码头(公交站),都市观光旅游3号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.224585848310895,121.49968909126882
斜土路鲁班路(公交站),89路;96路;974路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20546093803501,121.47242575447453
蒙自路斜土路(公交站),109路;146路外圈,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20568903137116,121.47428595859779
局门路汝南街(公交站),146路内圈,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.205380380978326,121.47752499077814
国货路海潮路(公交站),89路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.211149295271824,121.4900264697565
市九医院(公交站),18路;23路;318路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.206090605470493,121.4801499895799
斜土路打浦路(公交站),17路;733路;89路;932路;96路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.203644225587283,121.46556768184007
蓬莱公园(公交站),306路;66路;66路区间;929路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.208355759545398,121.48838885110551
鲁班路瞿溪路(公交站),17路;36路;733路;869路;933路;95路;浦西滨江1路;隧道八线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20211997937517,121.47149294817555
打浦路瞿溪路(公交站),146路内圈;146路外圈;17路;96路;浦西滨江1路;隧道一线;隧道一线区间;隧道夜宵一线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20121490452639,121.46725925896799
瞿溪路鲁班路(公交站),浦西滨江1路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.201106058351428,121.47097934114935
南浦大桥(公交站),109路;144路;303路;305路;324路;327路;43路;45路;55路;55路大站车(早高峰);55路大站车(晚高峰);64路;65路;869路;89路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.210648397701355,121.4969925596922
卢浦大桥(公交站),146路内圈;146路外圈;17路;205路;36路;733路;95路;隧道八线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.195719178655313,121.47473532393455
苗江路望达路(公交站),浦西滨江1路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20158597961537,121.49371853709674
南京西路黄河路(公交站),20路;330路;37路;805路/805路旅游观光环线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23505563018757,121.46718010699094
杜莎夫人蜡像馆(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.236358979586072,121.46901691083524
城市规划展示馆(公交站),都市观光旅游1线;都市观光旅游2线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.233107437243383,121.47155851509721
黄陂北路武胜路(公交站),109路;324路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23012535648825,121.46697387101598
威海路黄陂北路(公交站),109路;49路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.229902088999367,121.46570386049243
武胜路黄陂北路(公交站),23路;49路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.229562501988617,121.46617839002
武胜路西藏中路(公交站),隧道六线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23073511993063,121.47249081045118
九江路浙江中路(公交站),167路;20路;330路;37路;49路;805路/805路旅游观光环线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.236393109258227,121.47377863043948
延安东路普安路(公交站),23路;311路;42路;789路;上川专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22868917610428,121.47108432798531
长沙路北京西路(公交站),15路;19路;316路/316路(夜宵线);64路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23957890580232,121.46693493638799
温州路北京西路(公交站),136路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.239264374879536,121.4655495709628
普安路延安东路(公交站),455路;775路;782路;783路;934路;沪朱高速快线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.228435345316203,121.47182680263708
新闸路西藏中路(公交站),19路;316路/316路(夜宵线);64路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.240057952705996,121.46703421210813
福州路浙江中路(公交站),980路;上川专线;隧道三线;隧道六线;隧道夜宵线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.234954929291785,121.47560792721912
湖北路南京东路(公交站),14路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.236567344428906,121.47530977857558
天津路福建中路(公交站),330路;37路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23868945662238,121.47427610630805
金陵中路普安路(公交站),324路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22699606126762,121.47184297932797
金陵中路龙门路(公交站),108路;108路区间;23路;455路;775路;782路;783路;789路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.227990865796247,121.47373319619412
龙门路淮海中路(公交站),42路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22750397450834,121.4740472925569
淮海中路商业街(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.226186713696936,121.47266176856535
淮海中路嵩山路(公交站),167路;26路;320路;42路;805路/805路旅游观光环线;911路;920路;926路;932路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.226167594119698,121.47261561648035
福州路福建中路(公交站),123路;167路;49路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23576815293421,121.47791975388537
马当路淮海中路(公交站),大桥一线高峰车,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.224300473219294,121.46897982323532
成都北路新闸路(公交站),36路;869路;933路;95路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23950259643151,121.46023121269322
九江路福建中路(公交站),20路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.237746236053326,121.47756737511928
淡水路金陵东路(公交站),沪商高速专线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.224410950214267,121.4676936640495
嵩山路淮海中路(公交站),109路;781路;932路;隧道八线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.224811198844552,121.47116091217423
九江路山东中路(公交站),805路/805路旅游观光环线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.238183111035394,121.4789842159614
太仓路重庆南路(公交站),781路;932路;隧道八线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.222930139316716,121.46898796697513
新天地(马当路)(公交站),申城观光1号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.222373317364625,121.46969230524586
天津路河南中路(公交站),330路;37路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.240365086832213,121.47932019160065
一大会址新天地(公交站),都市观光旅游1线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.221854906128517,121.47054915280088
淮海中路思南路(公交站),146路内圈;146路外圈;167路;26路;320路;42路;911路;920路;926路;986路;986路(区间),黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.222112198899463,121.46281152459125
兴业路重庆南路(公交站),805路/805路旅游观光环线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22124118439491,121.46796982291625
九江路江西中路(公交站),20路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23897580155609,121.48209998993192
汉口路江西中路(公交站),49路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.238126875380722,121.48199268649984
汉口路四川中路(公交站),20路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23843777024364,121.4833704965925
河南南路福佑路(公交站),306路;66路;66路区间;929路;969路;980路;申城观光1号线;申城观光2号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.228637504523732,121.48310339141204
济南路复兴中路(公交站),17路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22030600926079,121.47498908226272
复兴中路顺昌路(公交站),304路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.219636385239912,121.47430081755942
复兴中路吉安路(公交站),24路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.220441602269286,121.47697983965652
四川中路香港路(公交站),19路;21路;220路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.24338855068303,121.48201531742501
顺昌路复兴中路(公交站),109路;17路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.218874798509155,121.47396374909962
长乐路陕西南路(公交站),26路,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.2224264107135,121.45483003400432
城隍庙(人民路)(公交站),申城观光1号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.231479713260608,121.48734516584497
外滩·海关大楼(公交站),都市观光旅游3号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.239445105622504,121.48567555472616
豫园(复兴东路)(公交站),申城观光1号线;申城观光2号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.224723517477553,121.48486493621581
外滩(南京东路)(公交站),申城观光1号线;申城观光2号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.2417201154329,121.48569041388984
外滩(北京东路)(公交站),申城观光1号线,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.24191586930855,121.48563720857638
马当路复兴中路(公交站),146路内圈;146路外圈;大桥一线高峰车,黄浦区,上海市,交通设施服务;公交车站;公交车站相关,31.21725835660911,121.4706488734289
