name,address,adname,pname,type,lat,lon
上海长征医院,凤阳路415号,黄浦区,上海市,医疗保健服务;综合医院;三级甲等医院,31.234136138536872,121.4630221396943
上海交通大学医学院附属瑞金医院,瑞金二路197号,黄浦区,上海市,医疗保健服务;综合医院;三级甲等医院,31.2136849441858,121.46310013497228
上海交通大学医学院附属仁济医院西院,山东中路145号,黄浦区,上海市,医疗保健服务;综合医院;三级甲等医院,31.23549124996143,121.47964372776198
上海中医药大学附属曙光医院(西院),普安路185号,黄浦区,上海市,医疗保健服务;综合医院;三级甲等医院,31.224803320768043,121.47478701545481
上海市红房子妇产科医院,方斜路419号,黄浦区,上海市,医疗保健服务;专科医院;妇科医院,31.215894848088258,121.47875231591574
上海集爱遗传与不育诊疗中心,方斜路588号(近陆家浜路),黄浦区,上海市,医疗保健服务;专科医院;专科医院,31.21358774590526,121.47833407099765
瑞金医院卢湾分院,重庆南路149号(近南昌路),黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.22052349388679,121.46795884908586
上海市瑞金康复医院,瞿溪路1100号(近鲁班路),黄浦区,上海市,医疗保健服务;综合医院;综合医院|医疗保健服务;诊所;诊所,31.200469501485273,121.46919957591027
复旦大学附属妇产科医院门诊,大林路566号,黄浦区,上海市,医疗保健服务;专科医院;妇科医院,31.2139935458255,121.47833202937227
上海市口腔病防治院,北京东路356号国华大楼2层,黄浦区,上海市,医疗保健服务;专科医院;口腔医院,31.24252891945083,121.47890958739369
外滩街道社区卫生服务中心金陵分中心,广西北路230-1号,黄浦区,上海市,医疗保健服务;综合医院;卫生院,31.23503608844461,121.47354897630602
上海泰坤堂中医医院,斜徐路553号(靠近鲁班路丽园路),黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.209429093094457,121.46769896416859
香山中医医院,复兴中路528号,黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.217447789317575,121.46217999237886
上海市黄浦区中西医结合医院,黄家路163号(近跨龙路),黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.218265055224375,121.49008005810818
黄浦区妇幼保健所,中华路1525号4楼(近复兴东路),黄浦区,上海市,医疗保健服务;专科医院;专科医院,31.22157189543369,121.48039050660753
上海市黄浦区中医医院,宁波路109号,黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.2411047446172,121.48035371381673
黄浦区牙病防治所,江西中路136弄2号,黄浦区,上海市,医疗保健服务;疾病预防机构;疾病预防,31.236105387363718,121.48321715568245
上海希玛瑞视眼科医院,西藏南路758号前社Nexxus2-3层,黄浦区,上海市,医疗保健服务;专科医院;眼科医院,31.217482005922594,121.47976066828653
申普宠物医院(徐家汇路店),徐家汇路563-567号,黄浦区,上海市,医疗保健服务;动物医疗场所;宠物诊所,31.208952478437556,121.46738399550642
上海肛泰医院工会委员会,斜土路105号501,黄浦区,上海市,医疗保健服务;专科医院;专科医院,31.208414790794,121.47817998164533
上海市强生职工医院,外马路984号,黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.21392384114408,121.50234854709275
黄浦区牙病防治所分所(河南南路),净土街77号,黄浦区,上海市,医疗保健服务;疾病预防机构;疾病预防,31.221309701724593,121.48708711116214
上海市黄浦区顺昌医院,建国东路80号,黄浦区,上海市,医疗保健服务;综合医院;综合医院,31.215414521258413,121.47505572526259
上海交通大学医学院附属第九人民医院南院门诊部,制造局路639号上海交通大学医学院附属第九人民医院南院内,黄浦区,上海市,医疗保健服务;综合医院;三级甲等医院,31.204799942300898,121.48108234389207
上海群力中医门诊部(上海群力草药店),金陵东路396号1-2层,黄浦区,上海市,医疗保健服务;诊所;诊所,31.22989079722594,121.47754697556542
黄浦区半淞园街道社区卫生服务中心,西藏南路1350号,黄浦区,上海市,医疗保健服务;综合医院;卫生院,31.208759416367812,121.48258626704629
上海外服门诊部,金陵西路28号金陵大厦1号楼3层、2号楼1010室,黄浦区,上海市,医疗保健服务;诊所;诊所,31.22640928360517,121.46890540137568
上海时光整形外科医院,普安路187-189曙光大厦2-3层,黄浦区,上海市,医疗保健服务;专科医院;整形美容,31.22433713704334,121.47428937748222
