name,address,adname,pname,type,lat,lon
人民广场(地铁站),1号线;2号线;8号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.234726100914,121.4706182782431
大世界(地铁站),(在建)14号线;8号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.22914139305818,121.47482176222582
新闸路(地铁站),1号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.24029683550525,121.46360942293069
黄陂南路(地铁站),(在建)14号线;1号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.22468975477896,121.4687821493285
南京东路(地铁站),10号线;2号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.24007059757012,121.48014106293132
豫园(地铁站),(在建)14号线;10号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.229783659203957,121.48299691960487
淮海中路(地铁站),13号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.22220294326987,121.45996289881018
新天地(地铁站),10号线;13号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.218319896123607,121.47066483504655
老西门(地铁站),10号线;8号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.220990024817432,121.4793047904335
马当路(地铁站),13号线;9号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.211481921643607,121.47274630710379
陆家浜路(地铁站),8号线;9号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.21377522512137,121.48163551094207
打浦桥(地铁站),9号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.20824926120278,121.4641438303624
小南门(地铁站),9号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.218886376589207,121.49396194819187
鲁班路(地铁站),4号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.201182066558378,121.47063219343913
南浦大桥(地铁站),4号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.210532362827728,121.49529445292734
西藏南路(地铁站),4号线;8号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.203968099945996,121.48508849146332
世博会博物馆(地铁站),13号线,黄浦区,上海市,交通设施服务;地铁站;地铁站,31.199552004021506,121.47709802548367
上海南站(地铁站),(在建)15号线;1号线;3号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.15646871837229,121.42541673931683
徐家汇(地铁站),(规划)25号线;11号线;1号线;9号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.197216387322985,121.43222043455725
陕西南路(地铁站),10号线;12号线;1号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.21706142441198,121.45417667330456
常熟路(地铁站),1号线;7号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.215415340697778,121.4445488892849
嘉善路(地铁站),12号线;9号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.204741982075607,121.45614326566601
古宜路(地铁站),(规划)25号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.18878161033534,121.42234664313597
上海图书馆(地铁站),10号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.20984485340492,121.4397604280011
衡山路(地铁站),1号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.20641835571629,121.44182631987346
肇嘉浜路(地铁站),7号线;9号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.201336314416558,121.44562369890977
大木桥路(地铁站),12号线;4号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.195989525466587,121.45872548941054
龙水南路(地铁站),(规划)23号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.156222687307025,121.45235591368382
交通大学(地铁站),10号线;11号线,徐汇区,上海市,交通设施服务;地铁站;地铁站,31.204085661462855,121.43063301241028
