name,address,adname,pname,type,lat,lon
上海市卢湾高级中学,斜土路885号,黄浦区,上海市,科教文化服务;学校;中学,31.204217797406105,121.46436687022373
市南中学,陆家浜路597号(近南浦大桥),黄浦区,上海市,科教文化服务;学校;中学,31.21548089836637,121.49192591556759
市八初级中学,复兴东路123号(近盐码头路),黄浦区,上海市,科教文化服务;学校;中学,31.223745572149358,121.49579313090214
上海市格致中学,广西北路66号,黄浦区,上海市,科教文化服务;学校;中学,31.232919489157425,121.47547464898248
向明初级中学,巨鹿路334号(近延安中路),黄浦区,上海市,科教文化服务;学校;中学,31.22455613302307,121.45341993665062
上海市大同中学,南车站路353号,黄浦区,上海市,科教文化服务;学校;中学,31.209163611544138,121.48914147131173
上海市第八中学,陆家浜路650号(近南浦大桥),黄浦区,上海市,科教文化服务;学校;中学,31.214311907602248,121.49207655575918
明珠中学,云南中路35号(近港陆广场),黄浦区,上海市,科教文化服务;学校;中学,31.23173322009645,121.47412218293584
上海市光明中学,西藏南路181号,黄浦区,上海市,科教文化服务;学校;中学,31.22822377918312,121.47621857786213
上海市黄浦学校,大吉路200号,黄浦区,上海市,科教文化服务;学校;中学,31.215118995703286,121.47971370684331
上海市黄浦区阳光学校,文庙路145号(近文庙),黄浦区,上海市,科教文化服务;学校;中学,31.22036465078881,121.48455320502386
上海市格致初级中学,长沙路35号,黄浦区,上海市,科教文化服务;学校;中学,31.237696369892674,121.46753501670321
向明中学(暂停营业),长乐路141号,黄浦区,上海市,科教文化服务;学校;中学,31.222889841148895,121.4604512989654
上海市光明初级中学,三牌楼路58、66,黄浦区,上海市,科教文化服务;学校;中学,31.225440598616892,121.48736976658957
上海市尚文中学,花衣街12号(近中山南路新码头街),黄浦区,上海市,科教文化服务;学校;中学,31.21989572498364,121.4982412755836
同济黄浦设计创意中学,四川中路599号,黄浦区,上海市,科教文化服务;学校;中学,31.243870817854987,121.48149646140443
上海市黄浦区业余高中,贵州路189号,黄浦区,上海市,科教文化服务;学校;中学,31.239314500877377,121.47116368025341
上海市格致初教中学,牯岭路与长沙路交叉口西南50米,黄浦区,上海市,科教文化服务;学校;中学,31.23813416972013,121.46753497905588
上海市清华中学,茂名南路156号,黄浦区,上海市,科教文化服务;学校;中学,31.21621052322016,121.4574169363308
上海市第十中学,永宁街25号(近文庙),黄浦区,上海市,科教文化服务;学校;中学,31.217926050023628,121.48429650591585
上海市金陵中学,金陵东路4号(近外滩),黄浦区,上海市,科教文化服务;学校;中学,31.233845374400808,121.4875988687434
上海市五爱高级中学,制造局路666号,黄浦区,上海市,科教文化服务;学校;中学,31.20288625824093,121.48018237492292
上海外国语大学附属大境中学,保屯路210号,黄浦区,上海市,科教文化服务;学校;中学,31.205448022422623,121.48631973033413
上海市敬业中学,蓬莱路345号,黄浦区,上海市,科教文化服务;学校;中学,31.21906446304529,121.48360095678517
上海市大同初级中学,瞿溪路202号,黄浦区,上海市,科教文化服务;学校;中学,31.20680981278685,121.4884913482117
上海市储能中学,重庆北路270号,黄浦区,上海市,科教文化服务;学校;中学,31.23020545630775,121.46475585610304
向明中学,瑞金一路100号,黄浦区,上海市,科教文化服务;学校;中学,31.22194908155809,121.45835216422856
上海市储能中学(成都北路),成都北路200号,黄浦区,上海市,科教文化服务;学校;中学,31.22876157714527,121.46339073717442
上海市兴业中学,建国东路518号,黄浦区,上海市,科教文化服务;学校;中学,31.21350481874289,121.46832462831628
上海市民办东元高级中学,保屯路288号,黄浦区,上海市,科教文化服务;学校;中学,31.20317681482077,121.48823474058143
上海市民办立达中学,厅西路55号,黄浦区,上海市,科教文化服务;学校;中学,31.210774890979923,121.48477881772057
上海市向明初级中学,思南路37号,黄浦区,上海市,科教文化服务;学校;中学,31.218679361856985,121.46302146435158
上海市敬业初级中学,尚文路73号,黄浦区,上海市,科教文化服务;学校;中学,31.21824950182939,121.48855058882314
上海私立永昌学校,绍兴路5号甲,黄浦区,上海市,科教文化服务;学校;中学,31.211383925583892,121.460695018185
黄浦区教育学院附属中山学校,鲁班路618号(近中山南一路),黄浦区,上海市,科教文化服务;学校;中学,31.197327257992228,121.47254885879845
上海市新晖中学,瑞金南路385号,黄浦区,上海市,科教文化服务;学校;中学,31.198198553888172,121.46581894078436
上海市震旦外国语中学,鲁班路369号(近斜土路),黄浦区,上海市,科教文化服务;学校;中学,31.204487577964848,121.47212584139432
同济黄浦设计创意中学(虎丘路校区),虎丘路95号,黄浦区,上海市,科教文化服务;学校;中学,31.244476206400307,121.48274879676369
上海外国语大学附属大境初级中学,瞿溪路437号(近西藏南路),黄浦区,上海市,科教文化服务;学校;中学,31.205971445779664,121.48349971400728
比乐中学,肇周路420号,黄浦区,上海市,科教文化服务;学校;中学,31.213773816162625,121.4766442622292
上海市向明中学国际部,长乐路141-26号,黄浦区,上海市,科教文化服务;学校;中学,31.22271050408061,121.45988261608638
华育中学,龙吟路99号,徐汇区,上海市,科教文化服务;学校;中学,31.118688251184768,121.449411338565
上海市上海中学,百色路989号,徐汇区,上海市,科教文化服务;学校;中学,31.141447405995606,121.43180751380608
上海市徐汇中学,虹桥路68号,徐汇区,上海市,科教文化服务;学校;中学,31.194181497014817,121.431296036273
南洋中学,龙华中路200号,徐汇区,上海市,科教文化服务;学校;中学,31.191773702059923,121.46077092942585
上海市第二中学,永康路200号,徐汇区,上海市,科教文化服务;学校;中学,31.212383731774345,121.45068460802723
上海市田林第二中学,柳州路400号,徐汇区,上海市,科教文化服务;学校;中学,31.171970669525127,121.41898996760271
上海南洋模范中学,零陵路453号(近东安路),徐汇区,上海市,科教文化服务;学校;中学,31.191764578206413,121.44637637030961
上海市第五十四中学,康平路34号,徐汇区,上海市,科教文化服务;学校;中学,31.206660719949323,121.43883370495766
上海市零陵中学,东安路451号,徐汇区,上海市,科教文化服务;学校;中学,31.191118410515408,121.45171017149632
上海市世界外国语中学,虹漕南路602号,徐汇区,上海市,科教文化服务;学校;中学,31.15184372272769,121.41061299440287
上海师大附中附属龙华中学,龙华西路292号,徐汇区,上海市,科教文化服务;学校;中学,31.17657733026714,121.44137487698549
上海市第四中学,天钥桥路100号,徐汇区,上海市,科教文化服务;学校;中学,31.19374774339219,121.43635767850802
上海市龙苑中学,黄石路85号,徐汇区,上海市,科教文化服务;学校;中学,31.15965074508936,121.44958827537657
上海市西南模范中学,汇成一村67号,徐汇区,上海市,科教文化服务;学校;中学,31.148958618365054,121.42989451425319
上海市田林第三中学,钦州路600号,徐汇区,上海市,科教文化服务;学校;中学,31.174943451228966,121.4248242716654
南洋模范初级中学,天平路200号,徐汇区,上海市,科教文化服务;学校;中学,31.202853858721443,121.43237422662979
上海市梅园中学,梅陇路495号,徐汇区,上海市,科教文化服务;学校;中学,31.139128566147885,121.41384663586277
上海市位育初级中学,复兴中路1261号,徐汇区,上海市,科教文化服务;学校;中学,31.213238656401643,121.45217451688092
位育中学,位育路1号(近徐浦大桥),徐汇区,上海市,科教文化服务;学校;中学,31.121656676173696,121.43828488235643
上海市长桥中学,龙临路20号,徐汇区,上海市,科教文化服务;学校;中学,31.13238819045952,121.43433199172884
