name,address,adname,pname,type,lat,lon
蓬莱路第二小学,蓬莱路225号(迎勋北路),黄浦区,上海市,科教文化服务;学校;小学,31.220105849202856,121.48559491334524
卢湾一中心小学,淡水路450号,黄浦区,上海市,科教文化服务;学校;小学,31.213733002172397,121.46917134940256
上海市实验小学,方浜中路699,黄浦区,上海市,科教文化服务;学校;小学,31.22522984926178,121.48096619919636
黄浦区新凌小学,西凌家宅路90弄33号,黄浦区,上海市,科教文化服务;学校;小学,31.205394205742337,121.48264074446723
海华小学,瑞金南路85号,黄浦区,上海市,科教文化服务;学校;小学,31.20443153318861,121.4635352709561
黄浦区瞿溪路小学,瞿溪路1117,黄浦区,上海市,科教文化服务;学校;小学,31.20095381474365,121.46903399705604
上海市七色花小学,雁荡路56弄13-46号,黄浦区,上海市,科教文化服务;学校;小学,31.22186412106792,121.46428209300578
四川南路小学,四川南路36号(金陵东路四川南路),黄浦区,上海市,科教文化服务;学校;小学,31.232555401982154,121.48572130293249
淮海中路小学,淡水路93号(近太仓路),黄浦区,上海市,科教文化服务;学校;小学,31.22294203864531,121.46858365677534
上海市黄浦区重庆北路小学,大沽路262号(大沽路石门一路),黄浦区,上海市,科教文化服务;学校;小学,31.227927849996266,121.46450125603364
上海市黄浦区梅溪小学,永宁街20号(学前街一粟街),黄浦区,上海市,科教文化服务;学校;小学,31.217479309573818,121.48465179876251
报童小学,山西南路35号,黄浦区,上海市,科教文化服务;学校;小学,31.23697279677163,121.47868328022281
中华路第三小学,乔家路7号(王家码头路中华路),黄浦区,上海市,科教文化服务;学校;小学,31.219219759825076,121.49347516829286
黄浦区海华小学分校,瑞金二路215,黄浦区,上海市,科教文化服务;学校;小学,31.210282903765467,121.46244842715136
合肥路第二小学,合肥路406,黄浦区,上海市,科教文化服务;学校;小学,31.21678370027039,121.47105525062979
上海师范大学附属卢湾实验小学,丽园路433号(近局门路),黄浦区,上海市,科教文化服务;学校;小学,31.210660195061337,121.4776529795898
上海市黄浦区曹光彪小学,长沙路35号,黄浦区,上海市,科教文化服务;学校;小学,31.237326927250514,121.46805170833055
上外黄浦外国语小学,半淞园路609号,黄浦区,上海市,科教文化服务;学校;小学,31.202102072888017,121.48881691039105
黄埔区翟滨路小学,瞿溪路1117号附近,黄浦区,上海市,科教文化服务;学校;小学,31.200826817037555,121.46901193636968
上海市裘锦秋实验学校,新桥路55号(新闸路-是的),黄浦区,上海市,科教文化服务;学校;小学,31.24182691105469,121.46077765105787
上海市北京东路小学,北京东路566-568号,黄浦区,上海市,科教文化服务;学校;小学,31.241208502451467,121.47469931765042
上海市黄浦区复兴中路第二小学,复兴中路480弄之1-6号,黄浦区,上海市,科教文化服务;学校;小学,31.217575802681516,121.46829719126671
上海市黄浦区卢湾三中心小学,嵩山路69号,黄浦区,上海市,科教文化服务;学校;小学,31.22525884366082,121.47183209184205
黄埔区复兴东路第三小学,复兴东路949号,黄浦区,上海市,科教文化服务;学校;小学,31.223126403760173,121.48218865035528
上海市黄浦区徽宁路第三小学,徽宁路216号(徽宁路迎勋路),黄浦区,上海市,科教文化服务;学校;小学,31.213280641969728,121.48813753621864
黄浦区回民小学,聚奎街50号(近学院路),黄浦区,上海市,科教文化服务;学校;小学,31.2258565956744,121.49212675754228
上海市黄浦区巨鹿路第一小学,南昌路366号(近陕西南路),黄浦区,上海市,科教文化服务;学校;小学,31.217497473818035,121.45556452577033
上外黄浦外国语小学小海豚校区,蒙自路654号附近,黄浦区,上海市,科教文化服务;学校;小学,31.20083382557669,121.47620386503657
复兴东路第三小学,复兴东路949号,黄浦区,上海市,科教文化服务;学校;小学,31.223140584948855,121.48225287416514
上海市黄浦区董家渡路第二小学,西姚家弄48号,黄浦区,上海市,科教文化服务;学校;小学,31.22475800840683,121.49175852791963
上海师范专科学校附属小学(局门路),局门路478号(近瞿溪路),黄浦区,上海市,科教文化服务;学校;小学,31.20409108010873,121.47755018708881
上海市光明小学,傅家街40号(傅家街盛家街),黄浦区,上海市,科教文化服务;学校;小学,31.225433831318842,121.4891270389242
上海市黄浦区卢湾二中心小学(西区),复兴中路642号,黄浦区,上海市,科教文化服务;学校;小学,31.21630827501859,121.45815607611289
上海市黄浦区第一中心小学,豆市街20号,黄浦区,上海市,科教文化服务;学校;小学,31.22204679137073,121.49793499060492
上海市黄浦区卢湾二中心小学东校,茂名南路175号(近复兴中路),黄浦区,上海市,科教文化服务;学校;小学,31.217014109078654,121.45903960773948
盛大花园小学,龙华路2588号(近龙华寺),徐汇区,上海市,科教文化服务;学校;小学,31.177930187625225,121.44905532226835
上海世界外国语小学,浦北路380号(近桂林路),徐汇区,上海市,科教文化服务;学校;小学,31.15699452003633,121.41568577717976
上海市徐汇区爱菊小学,安福路247号(近武康路),徐汇区,上海市,科教文化服务;学校;小学,31.214917140560555,121.43792506957308
上海小学,上中路200号,徐汇区,上海市,科教文化服务;学校;小学,31.14022266781001,121.43154615136757
汇师小学,文定路170号,徐汇区,上海市,科教文化服务;学校;小学,31.19001236192816,121.42833636425071
上海音乐学院附小,东平路9号,徐汇区,上海市,科教文化服务;学校;小学,31.21022693661245,121.44559285640585
徐汇区第一中心小学,嘉善路5号,徐汇区,上海市,科教文化服务;学校;小学,31.21460066921589,121.45506235944677
世界小学,武康路280弄2号,徐汇区,上海市,科教文化服务;学校;小学,31.209501175674628,121.43523708196514
徐汇区逸夫小学,罗秀路400号,徐汇区,上海市,科教文化服务;学校;小学,31.13556257794404,121.4385261928328
徐汇区樱花园小学,桂平支路18花苑村樱花园28,徐汇区,上海市,科教文化服务;学校;小学,31.148881339622196,121.4088491022612
田林第四小学,宜山路655弄7号,徐汇区,上海市,科教文化服务;学校;小学,31.178657416304823,121.42208317588178
徐汇区田林第一小学,l柳州路620号,徐汇区,上海市,科教文化服务;学校;小学,31.180350942174734,121.41497207095057
建襄小学,岳阳路255号,徐汇区,上海市,科教文化服务;学校;小学,31.205207883841066,121.44870707622765
向阳育才小学,龙川北路625弄1号(龙川北路罗城路),徐汇区,上海市,科教文化服务;学校;小学,31.150814408436066,121.4337302523113
上海市实验学校国际部,田林十三村1号,徐汇区,上海市,科教文化服务;学校;小学,31.176138570827842,121.42004584272655
田林三小,田林东路田林十一村59号,徐汇区,上海市,科教文化服务;学校;小学,31.172664366112976,121.42289477253416
上海市徐汇区东二小学,宛平南路908弄2号,徐汇区,上海市,科教文化服务;学校;小学,31.18506800498125,121.44641604573263
向阳小学,襄阳南路388弄15号,徐汇区,上海市,科教文化服务;学校;小学,31.209504969588238,121.45240345803387
江南新村小学,大木桥路600弄49号,徐汇区,上海市,科教文化服务;学校;小学,31.194503535074677,121.45802155753357
上海交通大学附属小学,南丹路387号,徐汇区,上海市,科教文化服务;学校;小学,31.19412169719032,121.42301206923186
日晖新村小学,零陵北路88号(近零陵路),徐汇区,上海市,科教文化服务;学校;小学,31.19730543060768,121.46015862077324
徐汇区徐浦小学,龙吴路2388弄71号(华泾路龙吴路),徐汇区,上海市,科教文化服务;学校;小学,31.124566084634857,121.45643097020641
上海市高安路第一小学,康平路4弄9号,徐汇区,上海市,科教文化服务;学校;小学,31.207432692241074,121.43902705186512
徐汇区教育学院附属实验小学,长桥四村89号(长华路罗秀路),徐汇区,上海市,科教文化服务;学校;小学,31.13557011466743,121.43347408661349
汇师小学(分校),徐虹北路38号(近人力资源与社会保障局),徐汇区,上海市,科教文化服务;学校;小学,31.192976112491735,121.42460038477843
建襄小学,嘉善路177号,徐汇区,上海市,科教文化服务;学校;小学,31.210302727659393,121.45548491980485
求知小学(习勤路校区),习勤路91号,徐汇区,上海市,科教文化服务;学校;小学,31.16687339158372,121.42381353476351
东安三村小学,零陵路天钥新村27号,徐汇区,上海市,科教文化服务;学校;小学,31.18774837402754,121.44120352740744
民办缪斯小学,东湖路21号(近淮海中路),徐汇区,上海市,科教文化服务;学校;小学,31.218275330632338,121.44810942356578
向阳小学(北校区),永嘉路249号(近嘉善路),徐汇区,上海市,科教文化服务;学校;小学,31.211317531706328,121.45602937594693
上海师范大学第一附属小学东校区,桂林西街14弄25号,徐汇区,上海市,科教文化服务;学校;小学,31.157246841133514,121.413644888715
吴中路小学,吴中东路500弄95号(番禺路凯旋路),徐汇区,上海市,科教文化服务;学校;小学,31.19375559739755,121.4178037561005
上海市实验学校附属小学,天等路75号(上中西路天等路),徐汇区,上海市,科教文化服务;学校;小学,31.133272969225835,121.42454047341164
康健外国语实验小学,百花街2号,徐汇区,上海市,科教文化服务;学校;小学,31.15627955005793,121.40905058255032
上海市徐汇区虹桥路小学,番禺路901,徐汇区,上海市,科教文化服务;学校;小学,31.198041450205363,121.4244657523218
教师进修学校附属实验中学,老沪闵路822号附近,徐汇区,上海市,科教文化服务;学校;小学,31.139849993047903,121.42736715678184
上海世界外国语小学西校区,内环中环之间桂林西街101弄56号,徐汇区,上海市,科教文化服务;学校;小学,31.152184365105022,121.41346017021135
上海市教育科学研究院实验小学(东校区),正阳路16号,徐汇区,上海市,科教文化服务;学校;小学,31.20384297117077,121.46045494562927
