name,address,adname,pname,type,lat,lon
思南路幼儿园,皋兰路11号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.218570925094642,121.46165730586875
长颈鹿幼儿园(金陵西路),金陵西路40号(金陵西路马当路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.226384024881806,121.46843588454935
蓬莱路幼儿园(蓬莱路),蓬莱路82号(柳江街文庙路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.220386524166226,121.48755385170612
黄浦区威海路幼儿园,威海路112号(近成都北路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.229801622867,121.46474786575331
中华路幼儿园,光启南路161号(光启南路蓬莱路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.221473581743503,121.49043003994193
文庙路幼儿园(柳江街),文庙路柳江街17号(近河南南路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.221238017109602,121.48549446111194
好小囡幼儿园(新昌路),凤阳路399弄16号(近新昌路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.23827513635688,121.462981659767
南京东路幼儿园,南京东路486弄1号2层,黄浦区,上海市,科教文化服务;学校;幼儿园,31.24061926889506,121.4797687237916
紫霞幼儿园(中华路),中华路195号(近复兴东路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.223972018814138,121.49430976950244
荷花池第二幼儿园,学前街136号(学前街一粟街),黄浦区,上海市,科教文化服务;学校;幼儿园,31.217651204995256,121.48498295505087
上海市音乐幼儿园,厦门路180号(曲阜路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.24168459068047,121.47049728533042
瞿溪路幼儿园,普育东路71弄6号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.212065600960326,121.49261668706909
温州路幼儿园,"温州路74号(黄河路青岛路,北京西路和新闸路)",黄浦区,上海市,科教文化服务;学校;幼儿园,31.239488169744916,121.46551042843964
傅家街幼儿园(傅家街),傅家街41号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.226287240231123,121.4890627365548
震旦益智早教中心,复兴中路498弄8号别墅松韵小区内(近复兴公园),黄浦区,上海市,科教文化服务;学校;幼儿园,31.21822023853627,121.46745743693899
明日星幼儿园(跨龙路),河南南路1001弄2号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.215736825433574,121.49093935267172
思南路幼儿园(南部),鲁班路778弄33号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.194533836835788,121.47297953254166
宁波路幼儿园,宁波路120弄8号(河南中路宁波路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.24165602831521,121.4801931085588
上海瑞示范园,巨鹿路316号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.224742140907445,121.45475261784566
吉的堡双语幼儿园,蒙自西路28弄4-1号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.20908454840053,121.47183648929092
黄浦区汇龙幼儿园,蒙自西路7号(近鲁班路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.20978858568755,121.47088629266231
瞿溪幼儿园分园,国货路8号新地大厦三楼,黄浦区,上海市,科教文化服务;学校;幼儿园,31.209804022337714,121.49339567982643
蓬莱路幼儿园东区,蓬莱路82号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.220793629919427,121.488326572996
上海市黄浦区永安路幼儿园,福佑路144号(安仁街福佑路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.229506381168623,121.48860683392643
上海市一级幼儿园,一粟街与学前街交叉口南50米,黄浦区,上海市,科教文化服务;学校;幼儿园,31.21768269675055,121.48515455961521
蓬莱路幼儿园,国货路与海潮路交叉口东100米,黄浦区,上海市,科教文化服务;学校;幼儿园,31.210598463436142,121.4936706016145
奥林幼儿园小班部,瞿溪路1072弄35号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.199638597656765,121.46981966574069
大同幼儿园(复兴中路),复兴中路585之1-3,黄浦区,上海市,科教文化服务;学校;幼儿园,31.216733771854614,121.46085604279196
上海市汇龙幼儿园小班部,瑞金二路225弄39号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.20989028226829,121.46330007658285
玛诺利娅主题幼儿园,江阴路57号(靠近黄陂北路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.231389440719102,121.46495939181752
上海市汇龙幼儿园中班部,丽园路842弄甲7号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.20790081217669,121.4717252221082
城市花园幼儿园,鲁班路738弄13号(近中山南一路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.19553856692421,121.4730607177528
上海市书法实验幼儿园,安仁街与福佑路交叉口东50米,黄浦区,上海市,科教文化服务;学校;幼儿园,31.229871002478905,121.488536551924
上海闻裕顺新理念幼儿园,永嘉路39弄之1-10号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.21225099771358,121.45806716548391
天使花园幼儿园,蒙自路460号,黄浦区,上海市,科教文化服务;学校;幼儿园,31.2036051901926,121.47469250646415
KidsCity,西藏南路1739号耀江花园5号楼305室(近半淞园路),黄浦区,上海市,科教文化服务;学校;幼儿园,31.201340824194062,121.48927962888682
